,corr_with_cancel
lead_time,0.2931233557607184
total_of_special_requests,-0.2346577739690245
required_car_parking_spaces,-0.19549781749449852
booking_changes,-0.14438099106132654
previous_cancellations,0.11013280822284209
has_agent,0.1020677738929103
has_company,-0.09931000303784186
is_repeated_guest,-0.0847934183570901
company,-0.08299479643487706
adults,0.06001721283955583
previous_bookings_not_canceled,-0.05735772316594581
days_in_waiting_list,0.054185824117780675
adr,0.047556597880389954
agent,-0.04652945245026958
total_guests,0.04652175550571702
babies,-0.03249108920833294
stays_in_week_nights,0.024764629045870488
adr_per_person,0.020830292439380053
total_nights,0.0177792692280896
arrival_date_year,0.016659860232446
has_children,-0.01277588768842873
arrival_month_num,0.011021783079191223
arrival_date_week_number,0.008148065395053286
arrival_date_day_of_month,-0.006130078862757987
children,0.005036254836439672
stays_in_weekend_nights,-0.0017910780782637893
