column,unique,top,top_count,top_rate
hotel,2,City Hotel,79330,0.6645
arrival_date_month,12,August,13877,0.1162
meal,5,BB,92310,0.7732
country,178,PRT,48590,0.407
market_segment,8,Online TA,56477,0.473
distribution_channel,5,TA/TO,97870,0.8198
reserved_room_type,10,A,85994,0.7203
assigned_room_type,12,A,74053,0.6203
deposit_type,3,No Deposit,104641,0.8765
customer_type,4,Transient,89613,0.7506
reservation_status,3,Check-Out,75166,0.6296
lead_time_band,5,31-90 days,29553,0.2475
stay_length_band,5,2-3 nights,54719,0.4583
guest_mix,4,couple,81560,0.6831
