,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,arrival_month_num,total_nights,total_guests,has_children,has_agent,has_company,adr_per_person,is_canceled
lead_time,1.0,0.04014209975345914,0.1268708127454585,0.0022675527028324237,0.08567113294880394,0.16579936387933364,0.11951869261297535,-0.037612816057241774,-0.020915016274890404,-0.12440990799896122,0.08604180192778886,-0.07354816794373444,0.0001488300727777041,-0.012639853508062161,-0.08624976141267185,0.1700841842637818,-0.06307685251681924,-0.11645057013918576,-0.09571204885480938,0.13142366344276576,0.15716697154821047,0.07226504643977226,-0.04213683343341977,0.1800314652025388,-0.12628003790221912,-0.12404274613919991,0.2931233557607184
arrival_date_year,0.04014209975345914,1.0,-0.5405613307724417,-0.00022101921048310835,0.021497365446213938,0.030883297336403433,0.029635144151772524,0.05463593309290914,-0.013192074662468217,0.0103413168660897,-0.1198220704517885,0.02921805116022924,0.0308723496062332,0.056463449610260605,0.03388175612378601,-0.056496602049327,0.197580088495447,-0.013684410868400212,0.1085314863379896,-0.5277387140397488,0.03143837318882586,0.05212740065384452,0.05270759494136286,-0.00023785671371918656,-0.003019622862495083,0.1381051874499669,0.016659860232446
arrival_date_week_number,0.1268708127454585,-0.5405613307724417,1.0,0.06680925298848656,0.01820765272138665,0.015558297327750274,0.025909057352613698,0.005515135623476185,0.010395480054376226,-0.030130758269571886,0.035500909120664344,-0.020903551674042682,0.005507503474122038,-0.018244156717474275,-0.03274985017962745,0.022933026652450422,0.07579064299569262,0.0019204228607330284,0.026149363589958306,0.9951051119689924,0.018718760796505304,0.025220423211166194,0.010283196060253472,0.03216479812525729,-0.025272126415912893,0.053333676205962605,0.008148065395053286
arrival_date_day_of_month,0.0022675527028324237,-0.00022101921048310835,0.06680925298848656,1.0,-0.016354299544370565,-0.028173521388299715,-0.0015659790658865125,0.0145527457812918,-0.00023036467553939804,-0.006145020690603596,-0.02701077611969974,-0.0002997867639673294,0.010612855996027152,0.00020176661171135565,0.003723526026292629,0.02272753516251912,0.030245194761960578,0.008683466451624941,0.0030621241403246857,-0.026062878178746522,-0.027408184078261538,0.0067421860237617615,0.015372198668637815,-0.004054053734933752,-0.0028843612195331987,0.022868467024332713,-0.006130078862757987
stays_in_weekend_nights,0.08567113294880394,0.021497365446213938,0.01820765272138665,-0.016354299544370565,1.0,0.4989688184955315,0.0918710201163184,0.04579388533690988,0.018482810453094585,-0.08723937875528567,-0.012774618878822905,-0.04271523495025465,0.06328131589027766,0.1614270874334131,-0.07997720505297823,-0.05415111348359235,0.0493419060259593,-0.018553809176170628,0.07267083049399105,0.01844000381005562,0.7627899495292614,0.10142603764940299,0.05210879418444851,0.1264342491405821,-0.10754155638281834,-0.042011505085587215,-0.0017910780782637893
stays_in_week_nights,0.16579936387933364,0.030883297336403433,0.015558297327750274,-0.028173521388299715,0.4989688184955315,1.0,0.09297551260391128,0.04420335321482223,0.020190974360632157,-0.09724497214044739,-0.013992430936177299,-0.04874254953327373,0.09620944596835253,0.1951351284707472,-0.0436408748753785,-0.002019810099214397,0.06523748026533607,-0.024859422747840414,0.06819178170957099,0.019211796420479526,0.9410050140022169,0.1016645660237302,0.050153401820630585,0.11719408627377458,-0.08136972378282788,-0.030129563488476688,0.024764629045870488
adults,0.11951869261297535,0.029635144151772524,0.025909057352613698,-0.0015659790658865125,0.0918710201163184,0.09297551260391128,1.0,0.030440359497222423,0.01814564187605585,-0.1464261157396283,-0.00673809613961064,-0.10798317248275179,-0.05167277353143062,0.024993555775177503,-0.16677844277847675,-0.008283347421433492,0.23064121552351227,0.014784817202464398,0.12288354569972604,0.028533738796813122,0.10524884798279667,0.8211045579631793,0.05311601500635611,0.18669329520048292,-0.23513705469214427,-0.3084356768967184,0.06001721283955583
children,-0.037612816057241774,0.05463593309290914,0.005515135623476185,0.0145527457812918,0.04579388533690988,0.04420335321482223,0.030440359497222423,1.0,0.024030234816430535,-0.03285774090349955,-0.024729165673581983,-0.02107166379386133,0.04895169903129344,0.05058099466569464,-0.04262175378909175,-0.033271416235454085,0.3248530297425221,0.05625494740802962,0.08173584130733508,0.005436834598784021,0.050864568725886336,0.5793644585896502,0.8951494518358561,0.04570638747936051,-0.054520180305204294,-0.07797123075339273,0.005036254836439672
babies,-0.020915016274890404,-0.013192074662468217,0.010395480054376226,-0.00023036467553939804,0.018482810453094585,0.020190974360632157,0.01814564187605585,0.024030234816430535,1.0,-0.008942634060322332,-0.007500998451213157,-0.006550454279340449,0.0834397814233238,0.030265627169377873,-0.009458876612768688,-0.01062054267871867,0.02918569025619876,0.037383355906134896,0.09788879209575428,0.010171543088036361,0.022282970282871316,0.16268766078569716,0.28015812540074725,-0.006782389239230147,-0.013366026036941448,-0.051555970378268264,-0.03249108920833294
is_repeated_guest,-0.12440990799896122,0.0103413168660897,-0.030130758269571886,-0.006145020690603596,-0.08723937875528567,-0.09724497214044739,-0.1464261157396283,-0.03285774090349955,-0.008942634060322332,1.0,0.08229323421675043,0.4180559949369085,0.012091787335539152,-0.05226389568308106,0.15972311696040722,-0.022234965332392435,-0.13431444666341436,0.07708957299331305,0.013050008618125926,-0.030729222497307387,-0.1066260574130562,-0.13674790389771802,-0.035825934430975856,-0.25560540502150164,0.2988430025380345,-0.03740265645861771,-0.0847934183570901
