arrival_date_year,arrival_month_num,bookings,cancellations,cancellation_rate
2015,7,2776,1259,0.4535
2015,8,3889,1598,0.4109
2015,9,5114,2094,0.4095
2015,10,4957,1732,0.3494
2015,11,2340,486,0.2077
2015,12,2920,973,0.3332
2016,1,2248,557,0.2478
2016,2,3891,1337,0.3436
2016,3,4824,1477,0.3062
2016,4,5428,2061,0.3797
2016,5,5478,1915,0.3496
2016,6,5292,2096,0.3961
2016,7,4572,1499,0.3279
2016,8,5063,1825,0.3605
2016,9,5394,2022,0.3749
2016,10,6203,2514,0.4053
2016,11,4454,1636,0.3673
2016,12,3860,1398,0.3622
2017,1,3681,1250,0.3396
2017,2,4177,1359,0.3254
2017,3,4970,1672,0.3364
2017,4,5661,2463,0.4351
2017,5,6313,2762,0.4375
2017,6,5647,2439,0.4319
2017,7,5313,1984,0.3734
2017,8,4925,1816,0.3687
