,count,mean,std,min,25%,50%,75%,max,missing,skew
lead_time,119390.0,104.01141636652986,106.86309704798794,0.0,18.0,69.0,160.0,737.0,0,1.3465498727254264
arrival_date_year,119390.0,2016.156554150264,0.7074759445203558,2015.0,2016.0,2016.0,2017.0,2017.0,0,-0.23258325181277467
arrival_date_week_number,119390.0,27.16517296255968,13.60513835549767,1.0,16.0,28.0,38.0,53.0,0,-0.010014326041540761
arrival_date_day_of_month,119390.0,15.798241058715135,8.780829470578345,1.0,8.0,16.0,23.0,31.0,0,-0.002000453978614959
stays_in_weekend_nights,119390.0,0.9275986263506156,0.9986134945978767,0.0,0.0,1.0,2.0,19.0,0,1.3800464497062852
stays_in_week_nights,119390.0,2.500301532791691,1.9082856150479095,0.0,1.0,2.0,3.0,50.0,0,2.8622492420671244
adults,119390.0,1.8564033838679956,0.5792609988327555,0.0,2.0,2.0,2.0,55.0,0,18.317804759206098
children,119390.0,0.10388642264846303,0.39855522168244717,0.0,0.0,0.0,0.0,10.0,0,4.112669999376718
babies,119390.0,0.007948739425412514,0.09743619130126437,0.0,0.0,0.0,0.0,10.0,0,24.646544829663092
is_repeated_guest,119390.0,0.03191222045397437,0.1757671454106566,0.0,0.0,0.0,0.0,1.0,0,5.326315335062105
previous_cancellations,119390.0,0.08711784906608594,0.8443363841545107,0.0,0.0,0.0,0.0,26.0,0,24.458048723119287
previous_bookings_not_canceled,119390.0,0.13709690928888515,1.4974368477076774,0.0,0.0,0.0,0.0,72.0,0,23.539799952843467
booking_changes,119390.0,0.22112404724013737,0.6523055726747721,0.0,0.0,0.0,0.0,21.0,0,6.000270054409322
agent,119390.0,74.82831895468632,107.14195312389882,0.0,7.0,9.0,152.0,535.0,0,1.3002872477740848
company,119390.0,10.775157048329005,53.94388374664132,0.0,0.0,0.0,0.0,543.0,0,5.9184056436866825
days_in_waiting_list,119390.0,2.321149174972778,17.594720878776215,0.0,0.0,0.0,0.0,391.0,0,11.944353446438395
adr,119390.0,101.83112153446687,50.53579028554871,-6.38,69.29,94.575,126.0,5400.0,0,10.53021398218952
required_car_parking_spaces,119390.0,0.06251779881062065,0.24529114746749361,0.0,0.0,0.0,0.0,8.0,0,4.163233237874087
total_of_special_requests,119390.0,0.5713627607002262,0.7927984228094114,0.0,0.0,0.0,1.0,5.0,0,1.3491893774222594
arrival_month_num,119390.0,6.552483457576011,3.09061868690028,1.0,4.0,7.0,9.0,12.0,0,-0.027617324835441513
total_nights,119390.0,3.4279001591423066,2.557438669051974,0.0,2.0,3.0,4.0,69.0,0,3.308771308928388
total_guests,119390.0,1.9682385459418712,0.7223942426586718,0.0,2.0,2.0,2.0,55.0,0,10.15416687708746
has_children,119390.0,0.07816400033503644,0.2684306109832855,0.0,0.0,0.0,0.0,1.0,0,3.1430324936457295
has_agent,119390.0,0.8631376162157635,0.3437034494338822,0.0,1.0,1.0,1.0,1.0,0,-2.113122228667938
has_company,119390.0,0.056931066253455065,0.23171182458918907,0.0,0.0,0.0,0.0,1.0,0,3.8243741498150627
adr_per_person,119390.0,54.90604781667923,29.115191352641144,-3.19,37.4,49.5,65.99625,2700.0,0,7.633302501603663
